,INDONESIA,,,JAWA,,,Inggris,
784,Apa makanan pedas favorit Anda?,Makanan pedas favorit saya adalah ramen pedas.,,Apa panganan pedhes favoritmu?,Panganan pedhes favoritku yaiku ramen pedhes.,,What's your favorite spicy food?,My favorite spicy food is spicy ramen.
785,Apa makanan penutup yang tidak boleh dilewatkan di India?,Makanan penutup yang tidak boleh dilewatkan di India adalah gulab jamun dan jalebi.,,Apa panganan cuci mulut sing ora bisa dilalekake ing India?,Dessert sing ora kudu dilewatake ing India yaiku gulab jamun lan jalebi.,,What are the unmissable desserts in India?,Desserts that should not be missed in India are gulab jamun and jalebi.
786,Apa hidangan khas Mesir yang terkenal?,"Hidangan khas Mesir yang terkenal adalah kushari, sejenis hidangan mi dengan bumbu tomat dan bawang.",,Apa panganan Mesir sing misuwur?,"Masakan Mesir sing misuwur yaiku kushari, jinis mie sing dibumbui karo tomat lan bawang.",,What is the famous Egyptian dish?,"A famous Egyptian dish is kushari, a type of noodle dish seasoned with tomatoes and onions."
787,Apa makanan favorit untuk sarapan?,Makanan favorit untuk sarapan saya adalah telur dadar dengan roti bakar.,,Apa panganan favorit kanggo sarapan?,Panganan favorit kanggo sarapan yaiku omelet karo roti panggang.,,What is your favorite food for breakfast?,My favorite food for breakfast is omelet with toast.
788,Jika kamu pergi ke Lamongan makanan apa yang kamu sukai?,Soto Lamongan adalah makanan yang sangat saya sukai ketika berkunjung ke Lamongan,,"Yen sampeyan menyang Lamongan, panganan apa sing sampeyan senengi?",Soto Lamongan menika panganan ingkang kula remen menawi wonten ing Lamongan,,"If you go to Lamongan, what food do you like?",Soto Lamongan is a food that I really like when visiting Lamongan
789,Hidangan apa yang kamu coba ketika berkunjung ke SUmatera Barat,Sata padang dalah hidangan yang saya sukai ketika berkunjung ke Sumatera Barat,,Masakan apa sing sampeyan coba nalika ngunjungi Sumatera Barat?,Sata Padang iku panganan sing daksenengi nalika dolan ing Sumatera Barat,,What dishes did you try when you visited West Sumatra?,Sata Padang is a dish that I like when visiting West Sumatra
790,Di mana saya bisa mencicipi Sate Ayam yang otentik di Indonesia?,Anda dapat menemukan sate ayam otentik di warung makan dan kedai-kedai jalanan di seluruh Indonesia.,,Ngendi aku bisa ngrasakake Sate Ayam asli ing Indonesia?,Sampeyan bisa nemokake sate ayam asli ing warung jajanan lan warung pinggiran ing saindhenging Indonesia.,,Where can I taste authentic Chicken Satay in Indonesia?,You can find authentic chicken satay in food stalls and street stalls throughout Indonesia.
791,Apa makanan khas Indonesia yang paling terkenal?,"Rendang, masakan daging sapi pedas dari Sumatra Barat, sangat terkenal sebagai hidangan khas Indonesia.",,Apa panganan khas Indonesia sing paling misuwur?,"Rendang, panganan daging sapi pedhes saka Sumatra Kulon, misuwur banget minangka panganan khas Indonesia.",,What is the most famous typical Indonesian food?,"Rendang, a spicy beef dish from West Sumatra, is very famous as a typical Indonesian dish."
792,Mengapa Rendang sering dianggap sebagai hidangan khas Indonesia yang istimewa?,"Karena rasa pedas, manis, dan rempah-rempah yang kaya.",,Kenging menapa Rendang asring dipunanggep minangka masakan khas Indonesia?,"Amarga rasa pedhes, manis lan sugih rempah-rempah.",,Why is Rendang often considered a special Indonesian dish?,"Because of its spicy, sweet and rich spice taste."
793,Bagaimana cara penyajian Nasi Goreng yang khas di Indonesia?,"Nasi Goreng disajikan dengan nasi yang digoreng bersama dengan bumbu, daging, sayuran, dan telur.",,Kadospundi sega goreng ingkang khas wonten ing Indonesia?,"Nasi Goreng disuguhake karo sega goreng bebarengan karo bumbu, daging, sayuran lan endhog.",,How is typical fried rice served in Indonesia?,"Nasi Goreng is served with fried rice along with spices, meat, vegetables and eggs."
794,Apa hidangan manis populer di Indonesia?,"Klepon, yang terbuat dari ketan dengan isi gula kelapa dan kelapa parut.",,Apa panganan manis sing populer ing Indonesia?,"Klepon, sing digawe saka ketan sing diisi gula klapa lan parutan klapa.",,What are the popular sweet dishes in Indonesia?,"Klepon, which is made from sticky rice filled with coconut sugar and grated coconut."
795,Apa hidangan sarapan khas Indonesia yang populer?,Nasi Goreng atau Bubur Ayam adalah sarapan populer di Indonesia.,,Apa masakan sarapan Indonesia sing populer?,Nasi Goreng utawa Bubur Ayam minangka sarapan sing populer ing Indonesia.,,What are popular Indonesian breakfast dishes?,Nasi Goreng or Chicken Porridge is a popular breakfast in Indonesia.
796,Di mana saya bisa menemukan hidangan Soto Betawi yang autentik?,"Kamu bisa menemukan Soto Betawi di Jakarta, terutama di warung-warung khas Betawi.",,Ing endi bisa nemokake soto Betawi asli?,"Soto Betawi bisa ditemokake ing Jakarta, utamane ing warung khas Betawi.",,Where can I find authentic Soto Betawi dishes?,"You can find Soto Betawi in Jakarta, especially in typical Betawi stalls."
797,Apa hidangan laut eksotis yang bisa ditemukan di daerah pesisir Indonesia?,"""Ikan Bilih"" adalah hidangan laut eksotis yang sering ditemukan di Danau Singkarak, Sumatra Barat.",,Apa panganan laut eksotis sing bisa ditemokake ing wilayah pesisir Indonesia?,"Ikan Bilih ya iku panganan laut eksotis sing kerep ditemoni ing tlaga Singkarak, Sumatra Kulon.",,What exotic seafood can be found in Indonesia's coastal areas?,"Ikan Bilih is an exotic seafood dish that is often found in Lake Singkarak, West Sumatra."
798,Apa makanan laut langka yang menjadi makanan khas di Maluku?,"""Ikan Cakalang Fufu"" adalah hidangan ikan asap yang populer di Maluku, khususnya di Ternate.",,Apa panganan laut langka sing dadi panganan khas Maluku?,"Ikan Cakalang Fufu minangka panganan iwak asap sing populer ing Maluku, utamane ing Ternate.",,What rare seafood is a typical food in Maluku?,"Fufu Skipjack Fish is a popular smoked fish dish in Maluku, especially in Ternate."
799,Darimana asal makanan Pempek?,Pempek merupakan makanan khas dari daerah Palembang,,Saka ngendi asale panganan pempek?,Pempek iku panganan khas daerah Palembang,,Where does the Pempek food come from?,Pempek is a typical food from the Palembang area
800,Kapan lagi kita bisa mencicipi Sup Konro?,Kita bisa mencicipi Sup Konro yang masih otentik saat berlibur ke Sulawesi Selatan,,Kapan maneh bisa ngrasakake Sup Konro?,Kita bisa nyicipi sup Konro asli nalika liburan ing Sulawesi Selatan,,When else can we taste Konro Soup?,We can taste authentic Konro soup while on holiday in South Sulawesi
801,Bagaimana cita rasa dari Juhu Singkak?,"Juhu singkah merupakan makanan khas masyarakat Dayak yang memiliki cita rasa unik, yakni gurih, asam, dan kepahit-pahitan.",,Piye rasane Juhu Singkak?,"Juhu singkah ya iku panganan khas Dayak kang duwé rasa unik, ya iku gurih, kecut lan pait.",,How does Juhu Singkak taste?,"Juhu singkah is a typical Dayak food which has a unique taste, namely savory, sour and bitter."
802,Apa bahan dasar untuk membuat lapa-lapa?,"Lapa-Lapa merupakan makanan khas Provinsi Sulawesi Tenggara yang terbuat dari kelapa, beras, dan garam yang dimasak menggunakan daun pisang.",,Apa bahan dhasar kanggo nggawe lapa-lapa?,"Lapa-Lapa ya iku panganan khas Provinsi Sulawesi Tenggara sing digawé saka klapa, beras lan uyah sing dimasak nganggo godhong gedhang.",,What are the basic ingredients for making lapa-lapa?,"Lapa-Lapa is a typical food from Southeast Sulawesi Province made from coconut, rice and salt cooked in banana leaves."
803,Apa nama camilan khas dari Papua Tengah?,Kue sagu  merupakan camilan asal Papua Tengah yang cocok dinikmati bersama teh hangat.,,Apa jenenge jajanan khas Papua Tengah?,Kue sagu ya iku jajanan saka Papua Tengah sing cocok disanèsi karo teh panas.,,What is the name of a typical snack from Central Papua?,Sago cake is a snack from Central Papua that is suitable to be enjoyed with hot tea.
804,Apa ciri khas dari Lumpia Semarang?,Santapan yang satu ini merupakan perpaduan dari budaya Tionghoa dan Indonesia.,,Apa ciri khas Lumpia Semarang?,Panganan iki minangka kombinasi budaya Cina lan Indonesia.,,What are the characteristics of Lumpia Semarang?,This dish is a combination of Chinese and Indonesian culture.
805,Berapa lama olahan daging rendang bisa bertahan?,Rendang merupakan makanan khas dari Sumatera Barat dapat bertahan hingga berminggu-minggu.,,Suwene olahan rendang daging sapi bisa tahan suwene?,Rendang minangka panganan khas Sumatera Barat sing bisa tahan nganti pirang-pirang minggu.,,How long can processed beef rendang last?,Rendang is a typical food from West Sumatra that can last for weeks.
806,Berapa lama waktu untuk memasak Bika Ambon?,Bika ambon dimasak selama 12 jam,,Pira suwene masak Bika Ambon?,Bika Ambon dimasak nganti 12 jam,,How long does it take to cook Bika Ambon?,Bika Ambon is cooked for 12 hours
807,Apa makanan khas dari Bali selain ayam betutu?,"Makanan khas Bali lainnya adalah satai lilit, nasi campur, dan masih banyak lagi.",,Apa panganan khas Bali kajaba pitik betutu?,"Panganan khas Bali liyane yaiku satai lilit, sega campur, lan liya-liyane.",,What are the typical foods from Bali besides chicken betutu?,"Other typical Balinese foods are satai lilit, mixed rice, and many more."
808,Apa itu makanan Tilutuan?,Tilutuan adalah bubur khas Manado yang merupakan campuran dari berbagai macam sayuran.,,Apa panganan Tilutuan?,Tilutuan ya iku bubur khas Manado sing dadi campuran manéka warna sayuran.,,What is Tilutuan food?,Tilutuan is a typical Manado porridge which is a mixture of various kinds of vegetables.
809,Apa pelengkap yang cocok untuk pendamping pempek?,"Pempek biasanya disajikan dengan kuah cuka yang memiliki rasa asam, manis, dan pedas.",,Iringan apa sing cocok kanggo ngiringi pempek?,"Pempek biasane disuguhake karo saos cuka kang rasane kecut, legi lan pedhes.",,What is a suitable accompaniment to accompany pempek?,"Pempek is usually served with vinegar sauce which has a sour, sweet and spicy taste."
810,Sebutkan salah satu ciri khas dari makanan Karedok?,Salah satu ciri dari karedok adalah menggunakan oncom bakar. Bila tidak menggunakan oncom bakar disebutnya lotek mentah.,,Apa salah sawijining ciri khas panganan Karedok?,Salah sijine ciri khas karedok yaiku nggunakake oncom bakar. Yen ora nganggo oncom bakar diarani lotek mentah.,,What is one characteristic of Karedok food?,"One of the characteristics of karedok is using grilled oncom. If you don't use grilled oncom, it's called raw lotek."
811,Mengapa makanan khas Sulawesi Tengah dinamakan Uta Dada?,Uta dalam bahasa Kaili berarti kuah dan dada santan.,,Napa panganan khas Sulawesi Tengah diarani Uta Dada?,Uta ing Kaili tegese saos santen lan dhadha.,,Why is the typical Central Sulawesi food called Uta Dada?,Uta in Kaili means coconut milk sauce and breast.
812,Bagaimana tekstur dan cita rasa dari Kue Sagu?,Kue sagu bagea khas Papua ini memiliki tekstur yang keras dan renyah dengan cita rasanya yang manis,,Apa tekstur lan rasa saka Kue Sagu?,Kue sagu bagea khas Papua iki nduweni tekstur kang atos lan renyah kanthi rasa manis,,What is the texture and taste of Sago Cake?,This typical Papuan bagea sago cake has a hard and crunchy texture with a sweet taste
813,Darimana nama Kue Lontar berasal?,Nama kue lontar ini berasal dari Bahasa Belanda berupa ronde taart atau kue bundar.,,Ngendi jenenge Kue Lontar teka?,Jeneng kue lontar iki asale saka basa Walanda wujude ronde taart utawa kue bunder.,,Where does the name Lontar Cake come from?,The name of this lontar cake comes from Dutch in the form of ronde taart or round cake.
814,Apa isian yang cocok untuk Crepes dengan cita rasa yang gurih?,"Crepes  gurih biasanya dilengkapi dengan topping seperti kornet, keju, telur ayam, sosis, hal, sayuran seperti selada, dan jagung.",,Isi apa sing cocok kanggo crepes kanthi rasa gurih?,"Krep gurih biasane dilengkapi topping kayata daging kornet, keju, endhog pitik, sosis, barang, sayuran kayata selada, lan jagung.",,What filling is suitable for crepes with a savory taste?,"Savory crepes are usually equipped with toppings such as corned beef, cheese, chicken eggs, sausage, things, vegetables such as lettuce, and corn."
815,Apa perbedaan dari Kue Leker dan Crepes?,Kue Leker berukuran kecil dengan topping terbatas sedangkan crepes berukuran lebih besar dengan isian yang lebih variatif.,,Apa bedane Kue Leker karo Krep?,Kue leker cilik karo topping winates nalika crepes luwih gedhe kanthi isi sing luwih variatif.,,What is the difference between Leker Cakes and Crepes?,Leker cakes are small with limited toppings while crepes are larger with more varied fillings.
816,Bagaimana cara mengolah pisang menjadi makanan yang menarik?,Kreasi nugget pisang ini bisa menjadi pilihan karena bentuknya yang menarik dan tentunya lezat.,,Kepiye cara ngolah gedhang dadi panganan sing menarik?,Kreasi gedhang nugget iki bisa dadi pilihan amarga bentuke sing menarik lan mesthi enak.,,How do you process bananas into interesting food?,This banana nugget creation could be an option because of its attractive shape and of course delicious.
817,Contoh dari makanan daerah yang dimodifikasi?,"Macaroon Nasi Uduk adalah salah satu contoh makanan daerah yang dimodifikasi, perpaduan kuliner khas Jakarta dan Perancis.",,Conto panganan regional sing diowahi?,"Macaroon Nasi Uduk minangka conto panganan daerah sing dimodifikasi, perpaduan kuliner khas Jakarta lan Prancis.",,An example of a modified regional food?,"Macaroon Nasi Uduk is an example of modified regional food, a fusion of typical Jakarta and French culinary delights."
818,Apa pelengkap yang cocok untuk memodifikasi Nasi Timlo?,Nasi timlo dimodifikasi dengan foie gras menjadikan harganya termahal di dunia.,,Pelengkap apa sing cocog kanggo ngowahi Sego Timlo?,Beras Timlo sing diowahi nganggo foie gras dadi sing paling larang ing donya,,What complements are suitable for modifying Timlo Rice?,Timlo rice modified with foie gras makes it the most expensive in the world.
819,Didapatkan darimana warna hitam pada kuah rawon?,Warna hitam gelap pada rawon dihasilkan oleh kluwek dicampur dengan potongan daging sapi yang lembut.,,Saka ngendi asale werna ireng ing saus rawon?,Rawon kang wernane ireng peteng diasilake kluwek dicampur karo potongan daging sapi empuk.,,Where does the black color in rawon sauce come from?,The dark black color of rawon is produced by kluwek mixed with pieces of tender beef.
820,Dimana restoran tengkleng yang terkenal?,"Restoran tengkleng yang paling terkenal adalah tengkleng klewer Ibu Edi, yang sudah melegenda.",,Wonten pundi restoran tengkleng ingkang misuwur?,Restoran tengkleng sing paling misuwur yaiku tengkleng klewer Ibu Edi sing wis legendaris.,,Where is the famous tengkleng restaurant?,"The most famous tengkleng restaurant is Ibu Edi's tengkleng klewer, which is already legendary."
